2022-12-04 18:59:10, Camera 1, Tomato, 1534, 1032, 87.27368900609373
2022-12-04 18:59:12, Camera 1, Tomato, 1704, 1034, 90.0
2022-12-04 18:59:13, Camera 1, Tomato, 1655, 1037, 87.27368900609373
2022-12-04 18:59:17, Camera 1, Tomato, 1425, 1031, 87.51044707800085
2022-12-04 18:59:17, Camera 1, Tomato, 1646, 1034, 84.28940686250037
2022-12-04 18:59:17, Camera 1, Tomato, 1745, 1047, 102.80426606528675
2022-12-04 18:59:17, Camera 1, Tomato, 1555, 1031, 84.28940686250037
2022-12-04 18:59:18, Camera 1, Tomato, 1795, 1037, 81.46923439005187
2022-12-04 18:59:19, Camera 1, Tomato, 1895, 1060, 86.91978986335418
2022-12-04 18:59:20, Camera 1, Tomato, 1636, 1032, 101.1792198958179
2022-12-04 18:59:21, Camera 1, Tomato, 1584, 1026, 83.99099404250548
2022-12-04 18:59:21, Camera 1, Tomato, 1683, 1029, 78.11134196037202
2022-12-04 18:59:21, Camera 1, Tomato, 1575, 1026, 86.98721249581666
2022-12-04 18:59:22, Camera 1, Tomato, 1883, 1030, 87.27368900609373
2022-12-04 18:59:22, Camera 1, Tomato, 1672, 1054, 64.23067237566129
2022-12-04 18:59:23, Camera 1, Tomato, 437, 1042, 97.1250163489018
2022-12-04 18:59:27, Camera 1, Tomato, 1659, 1032, 79.69515353123397
2022-12-04 18:59:28, Camera 1, Tomato, 1581, 1027, 84.55966796899449
2022-12-04 18:59:31, Camera 1, Tomato, 1695, 1044, 87.13759477388825
2022-12-04 18:59:32, Camera 1, Tomato, 1607, 1030, 90.0
2022-12-04 18:59:32, Camera 1, Tomato, 1675, 1048, 73.49563861824498
2022-12-04 18:59:33, Camera 1, Tomato, 1596, 1052, 80.21759296819272
2022-12-04 18:59:34, Camera 1, Tomato, 1749, 1028, 78.11134196037202
2022-12-04 18:59:34, Camera 1, Tomato, 377, 1030, 95.1944289077348
2022-12-04 18:59:35, Camera 1, Tomato, 1881, 1044, 84.8055710922652
2022-12-04 18:59:35, Camera 1, Tomato, 1552, 1044, 75.25643716352927
2022-12-04 18:59:37, Camera 1, Tomato, 1751, 1032, 87.51044707800085
2022-12-04 18:59:38, Camera 1, Tomato, 1790, 1034, 83.6598082540901
2022-12-04 18:59:38, Camera 1, Tomato, 1790, 1048, 74.0264765708934
2022-12-04 18:59:39, Camera 1, Tomato, 1546, 1026, 84.8055710922652
2022-12-04 18:59:39, Camera 1, Tomato, 354, 1042, 102.80426606528675
2022-12-04 18:59:39, Camera 1, Tomato, 1849, 898, -30.31557812055297
2022-12-04 18:59:45, Camera 1, Tomato, 1811, 1043, 93.01278750418334
2022-12-04 18:59:46, Camera 1, Tomato, 1584, 1032, 87.27368900609373
2022-12-04 18:59:48, Camera 1, Tomato, 1642, 1039, 83.29016319224307
2022-12-04 18:59:48, Camera 1, Tomato, 1870, 1027, 84.8055710922652
2022-12-04 18:59:49, Camera 1, Tomato, 1565, 1038, 86.98721249581666
2022-12-04 18:59:52, Camera 1, Tomato, 1301, 1047, 87.51044707800085
2022-12-04 18:59:55, Camera 1, Tomato, 1873, 1027, 67.38013505195957
2022-12-04 18:59:56, Camera 1, Tomato, 1856, 1031, 90.0
2022-12-04 18:59:58, Camera 1, Tomato, 1802, 1049, 90.0
2022-12-04 18:59:59, Camera 1, Tomato, 1823, 1038, 84.28940686250037
2022-12-04 18:59:59, Camera 1, Tomato, 1752, 1027, 115.3461759419467
