2022-11-28 12:51:33, Camera 1, Tomato, 1684, 758, 82.5685920288275
2022-11-28 12:51:36, Camera 1, Tomato, 1535, 759, 84.28940686250037
2022-11-28 12:51:38, Camera 1, Tomato, 1545, 762, 83.99099404250548
2022-11-28 12:51:40, Camera 1, Tomato, 1156, 774, 90.0
2022-11-28 12:51:43, Camera 1, Tomato, 1605, 757, 84.8055710922652
2022-11-28 12:51:43, Camera 1, Tomato, 1747, 764, 81.86989764584403
2022-11-28 12:51:44, Camera 1, Tomato, 1479, 757, 81.46923439005187
2022-11-28 12:51:49, Camera 1, Tomato, 1465, 766, 84.8055710922652
2022-11-28 12:51:51, Camera 1, Tomato, 1796, 767, 83.15722658736907
2022-11-28 12:51:52, Camera 1, Tomato, 1875, 763, 85.0302592718897
2022-11-28 12:51:53, Camera 1, Tomato, 1608, 771, 75.25643716352927
2022-11-28 12:51:57, Camera 1, Tomato, 1689, 761, 87.27368900609373
2022-11-28 12:51:59, Camera 1, Tomato, 1838, 823, 90.97102193107918
2022-11-28 12:52:01, Camera 1, Tomato, 1728, 759, 90.0
2022-11-28 12:52:12, Camera 1, Tomato, 1800, 775, 76.6075022462489
2022-11-28 12:52:13, Camera 1, Tomato, 411, 758, 109.29004621918874
2022-11-28 12:52:15, Camera 1, Tomato, 1763, 760, 84.8055710922652
2022-11-28 12:52:17, Camera 1, Tomato, 1832, 1052, 74.93554874457446
2022-11-28 12:52:20, Camera 1, Tomato, 316, 771, 96.00900595749452
2022-11-28 12:52:22, Camera 1, Tomato, 317, 680, -134.12398601088205
2022-11-28 12:52:23, Camera 1, Tomato, 1731, 763, 81.86989764584403
2022-11-28 12:52:26, Camera 1, Tomato, 1883, 770, 83.6598082540901
2022-11-28 12:52:30, Camera 1, Tomato, 1896, 933, 84.93383133743555
2022-11-28 12:52:30, Camera 1, Tomato, 1635, 760, 85.60129464500447
2022-11-28 12:52:32, Camera 1, Tomato, 1739, 763, 78.23171106797936
2022-11-28 12:52:33, Camera 1, Tomato, 1434, 760, 82.5685920288275
2022-11-28 12:52:34, Camera 1, Tomato, 1441, 758, 84.55966796899449
2022-11-28 12:52:36, Camera 1, Tomato, 1710, 757, 84.28940686250037
2022-11-28 12:52:38, Camera 1, Tomato, 1708, 758, 88.15238973400541
2022-11-28 12:52:41, Camera 1, Tomato, 1685, 762, 84.55966796899449
2022-11-28 12:52:42, Camera 1, Tomato, 1279, 767, 90.0
2022-11-28 12:52:43, Camera 1, Tomato, 1474, 826, 84.94275146744086
2022-11-28 12:52:46, Camera 1, Tomato, 1461, 774, 82.5685920288275
2022-11-28 12:52:50, Camera 1, Tomato, 1339, 772, 90.0
2022-11-28 12:52:57, Camera 1, Tomato, 1899, 760, 88.09084756700362
2022-11-28 12:52:58, Camera 1, Tomato, 1882, 762, 84.55966796899449
2022-11-28 12:53:00, Camera 1, Tomato, 1660, 766, 79.69515353123397
